id,equipamento_id,data_movimentacao,origem_local,origem_unidade,destino_local,destino_unidade,tipo_movimento,responsavel,observacoes,contador_mono_anterior,contador_mono_novo,contador_color_anterior,contador_color_novo
1798,806,2026-09-17,Hora Certa Cidade Ademar,,CAT,,retorno_cliente,,Retorno de cliente,,,,
1799,626,2026-09-26,CAT,,AES São Bernado,,saida_cliente,,Envio para cliente,,,,
1800,899,2026-09-26,AES São Bernado,,CAT,,retorno_cliente,,Retorno de cliente,,,,
1801,851,2026-09-27,CAT,,Hospital Geral de Arraial,,saida_cliente,,Envio para cliente,,,,
1802,706,2026-09-27,CAT,,Hospital Geral de Arraial - Teste Ergometrico,,saida_cliente,,Envio para cliente,,,,
1803,806,2026-09-27,CAT,,Hospital Geral de Arraial - Raio x,,saida_cliente,,Envio para cliente,,,,
1804,900,2026-09-29,Hospital Geral de Arraial - Teste Ergometrico,,CAT,,retorno_cliente,,Retorno de cliente,,,,
1805,901,2026-09-29,Hospital Geral de Arraial - Raio x,,CAT,,retorno_cliente,,Retorno de cliente,,,,
1806,902,2026-09-29,Hospital Geral de Arraial,,CAT,,retorno_cliente,,Retorno de cliente,,,,
1807,601,2026-09-29,CAT,,PQ Novo Sto Amaro,,saida_cliente,,Envio para cliente,,,,
1808,903,2026-09-29,PQ Novo Sto Amaro,,CAT,,retorno_cliente,,Retorno de cliente,,,,
1809,533,2026-09-30,CAT,,Centro de Exames da Mulher,,saida_cliente,,Envio para cliente,,,,
1810,600,2026-09-30,Centro de Exames da Mulher,,CAT,,retorno_cliente,,Retorno de cliente,,,,
1811,904,2026-10-06,CAT,,Porsche Naçoes Unidas,,saida_cliente,,Envio para cliente,,,,
1812,648,2026-10-06,Humana Ibirapuera,,R10,,envio_manutencao,,Envio para manutenção,,,,
1813,856,2026-10-06,CAT,,Humana Ibirapuera,,saida_cliente,,Envio para cliente,,,,
1814,670,2026-10-06,Porsche Naçoes Unidas,,CAT,,retorno_cliente,,Retorno de cliente,,,,
1815,905,2026-10-15,HM Itu,,CAT,,retorno_cliente,,Retorno de cliente,,,,
1816,906,2026-10-15,CAT,,HM Itu,,saida_cliente,,Envio para cliente,,,,
1817,596,2026-10-17,CAT,,Hosp Irmã Dulce  Praia Grande 4ID,,saida_cliente,,Envio para cliente,,,,
1818,899,2026-10-17,AES São Bernado,,Hosp Bertioga 4ID,,saida_cliente,,Envio para cliente,,,,
1819,888,2026-10-17,CAT,,CDI - Suzano 4ID,,saida_cliente,,Envio para cliente,,,,
1820,907,2026-10-22,CAT,,Unidade de Saude Avançada Itaqua,,saida_cliente,,Envio para cliente,,,,
1821,519,2026-10-22,CAT,,Unidade de Saude Avançada Itaqua,,saida_cliente,,Envio para cliente,,,,
1822,673,2026-10-22,CAT,,Unidade de Saude Avançada Itaqua,,saida_cliente,,Envio para cliente,,,,
1823,513,2026-10-22,CAT,,Unidade de Saude Avançada Itaqua,,saida_cliente,,Envio para cliente,,,,
1824,908,2026-10-22,CAT,,Unidade de Saude Avançada Itaqua,,saida_cliente,,Envio para cliente,,,,
1825,909,2026-10-22,CAT,,Hosp Regional Teodoro Sampaio (Comp de apoio),,saida_cliente,,Envio para cliente,,,,
1826,910,2026-10-22,CAT,,Hosp Regional Teodoro Sampaio (Servidor ),,saida_cliente,,Envio para cliente,,,,
1827,911,2026-10-22,CAT,,Hosp Regional Teodoro Sampaio (Backup),,saida_cliente,,Envio para cliente,,,,
1828,912,2026-10-27,CAT,,Samir - Espirito Santo,,saida_cliente,,Envio para cliente,,,,
1829,913,2026-10-27,CAT,,Samir - Espirito Santo,,saida_cliente,,Envio para cliente,,,,
1830,914,2026-10-27,CAT,,Samir - Espirito Santo,,saida_cliente,,Envio para cliente,,,,
1831,915,2026-10-27,CAT,,Samir - Espirito Santo,,saida_cliente,,Envio para cliente,,,,
1832,916,2026-10-29,CAT,,Ursi,,saida_cliente,,Envio para cliente,,,,
1833,632,2026-10-29,Ursi,,CAT,,retorno_cliente,,Retorno de cliente,,,,
1834,600,2026-10-30,CAT,,Juquitiba,,saida_cliente,,Envio para cliente,,,,
1835,559,2026-10-30,Juquitiba,,CAT,,retorno_cliente,,Retorno de cliente,,,,
1836,917,2026-11-04,Amparo,,CAT,,retorno_cliente,,Retorno de cliente,,,,
1837,827,2026-11-04,CAT,,HM Itu,,saida_cliente,,Envio para cliente,,,,
1838,918,2026-11-04,HM Itu,,CAT,,retorno_cliente,,Retorno de cliente,,,,
1839,919,2026-11-08,CAT,,Centro de Exames da Mulher,,saida_cliente,,Envio para cliente,,,,
1840,533,2026-11-08,Centro de Exames da Mulher,,CAT,,retorno_cliente,,Retorno de cliente,,,,
1841,547,2026-11-08,CAT,,HD MboiMirim Vera Cruz,,saida_cliente,,Envio para cliente,,,,
1842,754,2026-11-08,HD MboiMirim Vera Cruz,,CAT,,retorno_cliente,,Retorno de cliente,,,,
1843,860,2026-11-10,PQ Novo Sto Amaro,,CAT,,retorno_cliente,,Retorno de cliente,,,,
1844,726,2026-11-10,CAT,,PQ Novo Sto Amaro,,saida_cliente,,Envio para cliente,,,,
1845,920,2026-11-13,CAT,,R10,,saida_cliente,,Envio para cliente,,,,
1846,532,2026-11-18,Hosp Municipal de Araucaria,,CAT,,retorno_cliente,,Retorno de cliente,,,,
1847,824,2026-11-18,Hosp Municipal de Araucaria,,CAT,,retorno_cliente,,Retorno de cliente,,,,
1848,672,2026-11-18,Hosp Municipal de Araucaria,,CAT,,retorno_cliente,,Retorno de cliente,,,,
1849,847,2026-11-18,Hosp Municipal de Araucaria,,CAT,,retorno_cliente,,Retorno de cliente,,,,
1850,907,2026-11-24,Unidade de Saude Avançada Itaqua,,CAT,,retorno_cliente,,Retorno de cliente,,,,
1851,519,2026-11-24,Unidade de Saude Avançada Itaqua,,CAT,,retorno_cliente,,Retorno de cliente,,,,
1852,673,2026-11-24,Unidade de Saude Avançada Itaqua,,CAT,,retorno_cliente,,Retorno de cliente,,,,
